Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp
gottcode/focuswriter,2008-10-24 02:10:02+00:00,44031,305,C++,65,19,41,7,2017-03-14 20:37:41+00:00
mkottman/lqt,2010-02-15 14:53:20+00:00,1741,169,C++,31,38,23,10,2017-11-24 18:28:46+00:00
creationix/node-sdl,2011-06-25 18:28:35+00:00,4168,153,C++,44,9,8,6,2016-11-24 14:10:45+00:00
jesusgollonet/ofxGifDecoder,2011-07-31 22:46:38+00:00,30,21,C++,8,7,3,2,2017-11-24 20:09:47+00:00
danomatika/ofxLua,2011-06-08 14:06:38+00:00,26371,111,C++,22,1,15,6,2017-11-24 18:27:20+00:00
hugosantos/dbeacon,2010-04-23 14:29:12+00:00,864,14,C++,7,0,5,5,2017-11-24 23:17:13+00:00
maidsafe-archive/MaidSafe-Common,2011-03-02 01:03:24+00:00,10073,37,C++,27,3,34,22,2017-11-24 19:28:25+00:00
GoldenCheetah/GoldenCheetah,2009-06-22 22:09:22+00:00,203769,846,C++,327,238,114,54,2017-11-24 18:48:45+00:00
sansumbrella/Choreograph,2010-12-18 00:39:51+00:00,1522,167,C++,28,6,21,3,2017-11-24 18:43:51+00:00
yoneken/ARTK_MMD,2010-12-29 03:37:15+00:00,284,8,C++,7,0,1,1,2017-02-24 17:50:02+00:00
RJ/libf2f,2009-05-29 07:49:20+00:00,115,12,C++,7,1,3,1,2017-11-24 21:41:28+00:00
schuay/pacman,2008-11-22 12:58:03+00:00,2704,15,C++,10,3,3,1,2017-11-25 00:08:50+00:00
bnoordhuis/node-buffertools,2010-09-20 22:25:45+00:00,76,190,C++,36,11,12,6,2017-04-04 22:12:29+00:00
paulsmith/geonode,2009-11-24 22:57:12+00:00,86,72,C++,11,3,3,2,2017-11-24 19:02:07+00:00
vfn/zxing-iphone,2010-08-18 14:21:13+00:00,944,11,C++,8,0,3,1,2017-10-12 09:38:35+00:00
openstreetmap/cgimap,2010-07-21 19:30:52+00:00,1822,12,C++,6,2,5,8,2017-11-24 21:33:12+00:00
rtyler/gmrun,2009-07-24 03:42:38+00:00,257,25,C++,15,11,5,3,2017-11-24 20:05:05+00:00
SimpleITK/SimpleITK,2010-11-10 18:56:04+00:00,18721,183,C++,73,37,24,17,2017-11-24 18:51:18+00:00
appleseedhq/appleseed,2010-07-02 16:33:51+00:00,1245282,947,C++,186,334,94,25,2017-11-24 18:51:57+00:00
teragonaudio/PluginParameters,2010-04-17 18:08:16+00:00,2727,16,C++,7,2,6,1,2017-11-24 21:45:12+00:00
gunnarbeutner/shroudbnc,2010-09-05 19:25:15+00:00,9876,44,C++,7,1,7,6,2017-01-01 07:21:14+00:00
thewtex/tmux-mem-cpu-load,2010-02-25 17:16:22+00:00,230,511,C++,80,5,22,13,2016-11-24 16:28:08+00:00
neloe/libbash,2010-05-22 12:56:48+00:00,235,13,C++,5,0,2,3,2017-11-25 05:22:53+00:00
