Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
israelidanny/ie8linter,2015-01-31 04:09:59+00:00,1589,766,JavaScript,22,11,18,5,MIT,2016-11-24 14:30:35+00:00,6,36
wmluke/grunt-inline-angular-templates,2013-04-30 09:25:46+00:00,318,42,JavaScript,8,3,1,3,MIT,2016-05-27 17:44:45+00:00,4,36
justjavac/Programming-Alpha-To-Omega,2015-01-08 02:15:40+00:00,36,1574,JavaScript,442,4,188,4,GPL-2.0,2017-03-25 10:38:28+00:00,6,36
devinivy/labbable,2016-05-29 05:53:21+00:00,25,26,JavaScript,5,0,6,5,MIT,2019-01-04 10:23:56+00:00,6,35
tomberek/aor-postgrest-client,2017-02-04 07:57:46+00:00,9,32,JavaScript,15,4,4,0,MIT,2017-02-06 09:24:31+00:00,10,35
maxsteenbergen/Fibonacci,2014-06-13 10:57:42+00:00,619,427,JavaScript,64,0,16,1,MIT,2017-11-24 18:28:35+00:00,2,35
sindresorhus/md5-hex,2015-05-23 16:53:31+00:00,19,20,JavaScript,7,0,8,7,MIT,2019-07-11 17:18:59+00:00,10,35
aarondfrancis/vue-model,2016-05-18 00:25:03+00:00,236,818,JavaScript,39,8,31,1,MIT,2017-10-16 17:19:19+00:00,3,35
hanzoai/solidity,2018-05-08 07:35:05+00:00,24,43,JavaScript,15,0,15,2,BSD-3-Clause,2019-04-21 06:49:42+00:00,2,34
Esri/map-tools-template,2015-02-04 23:49:53+00:00,432,19,JavaScript,30,5,42,1,Apache-2.0,2017-11-24 19:13:49+00:00,3,34
emikhalev/leaflet-2gis,2013-09-24 07:10:34+00:00,161,15,JavaScript,5,2,4,2,MIT,2017-11-24 19:55:51+00:00,3,33
Quadric/perfect-graphql-starter,2016-09-02 13:34:32+00:00,40,44,JavaScript,13,0,6,1,MIT,2016-09-07 15:18:03+00:00,2,32
mc500/simple-rbs,2016-12-02 04:57:31+00:00,278,0,JavaScript,11,1,1,0,Apache-2.0,2016-12-02 04:38:20+00:00,4,32
eimg/burmese-text-classifier,2018-03-28 09:12:25+00:00,12917,10,JavaScript,5,0,2,2,MIT,2018-03-28 19:23:07+00:00,4,31
sgbj/generator-aspnetcore-angular2,2016-04-28 19:24:23+00:00,218,49,JavaScript,19,14,12,2,MIT,2016-10-26 10:11:03+00:00,5,31
gucheen/jQueryPopMenu,2014-01-15 08:57:57+00:00,281,77,JavaScript,57,1,13,1,MIT,2017-09-17 07:36:34+00:00,3,31
g13n/ua.js,2012-05-06 04:45:06+00:00,210,90,JavaScript,20,0,2,8,BSD-2-Clause,2017-08-29 04:53:13+00:00,9,31
kylerush/grunt-userevvd,2014-08-11 22:09:37+00:00,344,1,JavaScript,5,2,2,2,MIT,2016-05-27 16:57:22+00:00,3,31
actions-on-google/dialogflow-silly-name-maker-webhook-nodejs,2016-12-08 16:12:23+00:00,44,22,JavaScript,31,0,7,1,Apache-2.0,2016-12-08 16:15:34+00:00,12,31
notwaldorf/cat-dns,2014-02-18 00:12:33+00:00,18,187,JavaScript,16,0,8,5,MIT,2017-10-05 06:37:28+00:00,7,31
mathiasbynens/unicode-property-aliases,2016-05-21 07:26:25+00:00,20,2,JavaScript,6,0,1,3,MIT,2019-03-05 11:50:39+00:00,3,30
chilts/koa-pg,2013-12-31 11:48:33+00:00,17,30,JavaScript,10,3,4,4,MIT,2016-09-01 16:00:43+00:00,4,29
ceasbz/mega-sena-cli,2016-06-07 01:57:58+00:00,534,20,JavaScript,6,1,2,3,MIT,2016-06-10 22:06:28+00:00,5,29
charleslxh/react-socket-io,2016-10-17 12:22:15+00:00,635,83,JavaScript,17,4,6,1,Apache-2.0,2019-05-13 05:43:38+00:00,5,28
i5ting/stuq-wxapp,2016-09-28 07:32:56+00:00,6993,37,JavaScript,16,4,9,1,MIT,2016-09-28 15:16:45+00:00,3,28
tiaanduplessis/react-native-surrender,2017-10-30 10:43:21+00:00,47,49,JavaScript,7,2,2,3,MIT,2019-02-12 14:22:57+00:00,4,28
helixhuang/ionic-resources,2016-05-17 15:22:06+00:00,20,8,JavaScript,7,5,1,2,MIT,2018-05-01 08:54:06+00:00,6,27
vdw/MapIt,2013-12-01 21:53:47+00:00,48,51,JavaScript,10,0,8,1,Apache-2.0,2017-11-24 19:34:37+00:00,2,27
gEndelf/jquery.businessHours,2014-01-10 13:25:57+00:00,250,49,JavaScript,35,5,7,3,Apache-2.0,2016-05-27 15:03:50+00:00,5,27
chenweiqun/swagger-vue,2017-03-31 06:17:00+00:00,31,100,JavaScript,40,10,4,1,MIT,2017-04-06 12:06:23+00:00,8,27
bentolor/java9-in-action,2016-06-30 12:17:18+00:00,2204,85,JavaScript,36,0,9,1,GPL-3.0,2016-07-08 17:48:24+00:00,4,26
spotware/connect-protobuf-messages,2016-03-08 07:51:36+00:00,19,3,JavaScript,6,2,9,6,Apache-2.0,2018-12-13 14:40:49+00:00,7,26
lizhineng/word-search-game,2013-06-05 02:24:10+00:00,47,15,JavaScript,14,1,1,2,MIT,2017-03-15 06:37:13+00:00,5,26
Binaryify/amrToMp3,2016-09-29 10:31:01+00:00,12,42,JavaScript,8,1,2,2,MIT,2018-12-11 06:33:08+00:00,4,26
m-reiniger/log4js-syslog-appender,2015-01-27 16:23:25+00:00,1508,3,JavaScript,8,0,3,4,MIT,2019-02-07 06:33:11+00:00,5,26
youzan/tiny-loader.js,2015-10-25 13:40:14+00:00,123,182,JavaScript,48,0,15,2,MIT,2017-11-24 18:42:50+00:00,4,25
mikolalysenko/ao-shader,2013-06-30 23:59:00+00:00,423,15,JavaScript,5,1,4,3,MIT,2016-05-27 14:48:51+00:00,4,25
davemart-in/tablechamp-app,2017-02-07 01:36:54+00:00,5093,70,JavaScript,38,10,6,1,MIT,2017-04-22 13:09:21+00:00,2,25
jeffling/angular-jl-tether,2014-05-09 08:49:18+00:00,47,22,JavaScript,7,3,1,2,MIT,2017-04-11 22:10:35+00:00,2,25
JenniferSimonds/FontDetect,2012-06-03 02:28:15+00:00,470,53,JavaScript,12,7,10,2,MIT,2016-05-27 14:23:54+00:00,2,24
HuntForCode/playa-vista-adventure,2017-05-19 18:36:15+00:00,39,2,JavaScript,11,0,1,2,MIT,2017-05-21 05:14:54+00:00,3,24
OmarElGabry/chat.io,2016-08-31 18:42:58+00:00,630,1175,JavaScript,427,6,62,2,MIT,2016-11-24 17:26:55+00:00,5,24
gmwils/node-transloadit,2011-11-29 15:55:53+00:00,141,33,JavaScript,8,1,2,6,MIT,2016-05-27 13:46:19+00:00,7,24
EvanBacon/firebase-instagram,2018-07-05 22:38:15+00:00,83,63,JavaScript,27,1,4,1,MIT,2018-11-16 18:05:02+00:00,4,23
ElemeFE/weex-vue-starter-kit,2017-02-10 08:24:31+00:00,83,171,JavaScript,29,2,12,0,MIT,2017-02-12 03:48:41+00:00,5,23
kamichikoichi/kage-engine,2016-01-26 13:39:36+00:00,34,17,JavaScript,6,3,2,1,GPL-3.0,2017-04-11 22:37:26+00:00,6,23
greatbsky/react-native-webview2-demo,2016-08-19 10:42:44+00:00,4210,11,JavaScript,7,2,5,3,MIT,2016-10-26 10:36:57+00:00,3,23
nysenate/NYSenateMobileApp,2010-06-04 12:04:11+00:00,10970,59,JavaScript,17,1,9,1,Apache-2.0,2017-11-24 19:02:51+00:00,2,23
DaanHaaz/loveJS,2014-05-05 00:26:05+00:00,4311,17,JavaScript,5,2,8,2,MIT,2017-06-27 08:36:41+00:00,4,22
one-more/react-cron-builder,2016-12-13 10:21:02+00:00,14120,32,JavaScript,27,4,4,2,MIT,2019-07-29 14:39:30+00:00,7,22
jwerle/to-csv,2013-08-06 19:32:24+00:00,12,11,JavaScript,5,1,1,5,MIT,2016-05-27 15:20:47+00:00,6,22
juliancwirko/react-redux-webpack-meteor,2016-05-12 23:00:08+00:00,125,86,JavaScript,16,3,10,1,MIT,2016-10-26 10:11:59+00:00,2,22
eahefnawy/serverless-mailer,2015-09-28 19:56:10+00:00,17292,112,JavaScript,22,9,5,1,MIT,2016-05-28 03:10:23+00:00,3,22
saadmk11/your-query,2017-07-26 14:08:48+00:00,1237,4,JavaScript,5,0,1,1,MIT,2017-08-04 21:17:40+00:00,2,21
