Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers_count,commit_count_after_introduction
apple/swift,2015-10-23 21:15:07+00:00,518447,50134,C++,8113,440,2518,417,Apache-2.0,2016-11-24 17:11:17+00:00,1354,178482
htcondor/htcondor,2012-09-14 11:35:15+00:00,201833,152,C++,89,2,28,35,Apache-2.0,2017-11-24 18:51:17+00:00,236,46825
qtumproject/qtum,2017-03-03 08:17:11+00:00,85438,869,C++,212,12,204,399,GPL-3.0,2017-06-28 02:17:20+00:00,1188,46314
cxx-hep/root-cern,2013-04-26 15:36:50+00:00,434087,25,C++,26,0,8,23,LGPL-2.1,2017-11-24 19:58:34+00:00,65,
ElunaLuaEngine/ElunaTrinityWotlk,2013-12-20 19:21:59+00:00,178067,53,C++,106,0,22,315,GPL-2.0,2017-04-12 23:45:40+00:00,874,28239
opencog/atomspace,2015-04-27 16:32:57+00:00,152415,165,C++,115,59,58,65,AGPL-3.0,2017-04-13 08:57:55+00:00,168,
xbmc/libandroidjni,2017-03-18 08:46:37+00:00,434033,15,C++,11,0,59,0,GPL-2.0,2017-03-18 08:46:56+00:00,547,
HTMLCOIN/cpp-ethereum,2017-09-14 15:00:40+00:00,50435,0,C++,6,0,3,0,GPL-3.0,2017-09-14 14:25:09+00:00,148,30488
glotzerlab/hoomd-blue,2018-09-06 11:23:27+00:00,39843,22,C++,5,41,4,43,BSD-3-Clause,2019-04-01 22:50:44+00:00,176,
squid-cache/squid,2014-09-27 00:59:40+00:00,162207,337,C++,129,23,38,61,GPL-2.0,2017-11-24 18:40:39+00:00,290,
Mu2e/Offline,2019-08-16 22:03:57+00:00,39602,0,C++,21,4,6,19,Apache-2.0,2019-10-29 22:40:21+00:00,139,
KDE/kopete,2015-09-18 16:57:27+00:00,45559,12,C++,5,0,0,183,LGPL-2.1,2017-06-04 04:47:07+00:00,337,
eosforce/eosforce,2018-06-22 07:31:32+00:00,129274,36,C++,17,8,6,175,MIT,2018-12-03 09:44:27+00:00,261,15457
MrKepzie/Natron,2013-05-06 20:48:50+00:00,123797,1257,C++,155,190,136,12,GPL-2.0,2017-11-24 18:51:57+00:00,36,
ManaPlus/ManaPlus,2011-08-04 19:28:23+00:00,145108,44,C++,22,8,17,21,GPL-2.0,2017-06-12 19:59:49+00:00,48,
SCIInstitute/SCIRun,2012-02-16 18:51:26+00:00,73532,38,C++,36,323,17,15,MIT,2017-11-24 19:33:19+00:00,54,
ahmedbodi/terracoin,2016-07-02 15:13:33+00:00,60086,0,C++,6,3,4,0,MIT,2016-07-02 15:14:44+00:00,469,
citizenfx/fivem,2017-01-16 21:18:18+00:00,173469,1033,C++,369,28,91,31,MIT,2017-01-19 10:20:30+00:00,336,11578
