Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
virjar/vscrawler,2017-06-02 00:39:49+00:00,8221,24,Java,5,0,5,1,Apache-2.0,2017-06-15 09:39:07+00:00,4,323
digitalpetri/ua-server-sdk,2014-10-12 19:59:45+00:00,2158,28,Java,18,2,14,2,AGPL-3.0,2016-05-27 16:17:35+00:00,2,323
inspectIT/inspectIT,2015-01-19 15:14:27+00:00,18264,404,Java,107,28,50,7,AGPL-3.0,2017-11-24 18:51:15+00:00,19,323
grandcentrix/tray,2015-02-05 13:39:50+00:00,679,2233,Java,267,32,98,9,Apache-2.0,2017-08-24 01:56:16+00:00,14,319
RedElastic/reactive-stock-trader,2018-12-03 19:01:21+00:00,893,47,Java,16,39,7,4,Apache-2.0,2019-11-03 19:59:59+00:00,5,314
BuiltBrokenModding/MilitaryBaseDecor,2014-11-18 23:47:43+00:00,1394,8,Java,5,8,24,5,MIT,2019-03-24 04:36:32+00:00,12,311
mc1arke/sonarqube-community-branch-plugin,2019-03-04 19:24:36+00:00,112,41,Java,9,0,13,1,GPL-3.0,2019-04-11 17:49:20+00:00,57,308
wasabeef/recyclerview-animators,2014-12-22 14:07:08+00:00,67593,9648,Java,1844,101,315,22,Apache-2.0,2017-05-17 13:09:48+00:00,36,302
nutzam/nutzwx,2014-05-01 03:59:01+00:00,518,58,Java,37,4,16,9,Apache-2.0,2018-07-05 13:29:27+00:00,24,301
zplesac/android_connectionbuddy,2015-09-01 06:34:59+00:00,376,76,Java,14,0,6,1,Apache-2.0,2017-11-24 18:54:16+00:00,6,295
spring-projects/spring-credhub,2017-04-28 20:32:26+00:00,1381,13,Java,15,0,9,6,Apache-2.0,2019-03-19 05:34:10+00:00,16,294
j4velin/WiFi-Automatic,2013-11-19 23:07:21+00:00,581,34,Java,21,6,10,5,Apache-2.0,2017-11-24 19:56:51+00:00,11,288
scaleset/scaleset-search,2014-08-15 17:10:40+00:00,1088,3,Java,6,7,2,4,Apache-2.0,2016-05-27 13:54:03+00:00,4,285
cn-cerc/summer-sample,2016-10-30 03:43:55+00:00,350,3,Java,39,3,11,1,Apache-2.0,2016-10-31 00:48:08+00:00,8,285
allegro/elasticsearch-analysis-morfologik,2017-03-22 08:10:35+00:00,319,26,Java,7,0,8,1,Apache-2.0,2017-03-22 16:19:45+00:00,8,281
adorsys/secure-storage-android,2017-03-30 09:20:56+00:00,4015,118,Java,16,0,10,1,Apache-2.0,2017-04-02 16:23:43+00:00,11,276
OpenGeoportal/ogpHarvester,2013-10-16 14:30:47+00:00,6298,9,Java,5,0,9,3,GPL-3.0,2018-01-19 13:50:10+00:00,4,276
spring-projects/spring-xd-samples,2013-08-12 02:38:43+00:00,31515,188,Java,229,18,50,15,Apache-2.0,2017-11-24 18:29:49+00:00,17,276
basgren/railways,2014-01-27 23:08:24+00:00,572,21,Java,5,3,3,1,MIT,2017-01-20 04:20:56+00:00,4,269
waps12b/IntroductionToAlgoritmProblemSolvingTechniques,2017-10-05 09:13:53+00:00,371,23,Java,12,0,13,2,GPL-2.0,2017-11-25 06:19:17+00:00,16,268
fabric8-quickstarts/spring-boot-camel-teiid,2016-07-08 20:27:11+00:00,145,0,Java,9,0,7,0,Apache-2.0,2016-07-08 20:27:15+00:00,15,267
wepay/WePay-Java-SDK,2013-08-01 00:53:39+00:00,2481,14,Java,23,0,34,10,MIT,2016-08-23 07:35:12+00:00,22,261
pilwon/node-ib,2013-06-28 20:06:17+00:00,441,262,Java,96,43,43,25,MIT,2019-07-05 08:43:37+00:00,34,256
SilverThings/SilverWare,2015-02-10 23:13:37+00:00,3333,21,Java,12,19,11,5,Apache-2.0,2017-11-24 19:34:27+00:00,10,255
verhas/License3j,2012-08-30 15:53:02+00:00,731,159,Java,66,5,32,2,Apache-2.0,2016-07-18 14:09:27+00:00,11,246
rterp/SumZeroTrading,2016-01-19 05:43:31+00:00,1182,54,Java,14,29,16,1,MIT,2017-11-24 20:08:55+00:00,3,242
antlibs/ant-contrib,2011-10-14 19:38:41+00:00,12637,6,Java,6,0,5,1,Apache-2.0,2016-05-28 02:16:52+00:00,9,239
spotify/semantic-metrics,2016-02-23 15:58:00+00:00,252,35,Java,21,2,20,20,Apache-2.0,2019-03-12 22:05:41+00:00,34,238
robovm/robovm-eclipse,2013-05-21 15:04:57+00:00,1219,15,Java,19,14,16,3,GPL-2.0,2017-11-24 21:33:14+00:00,6,229
google/google-authenticator,2014-10-08 17:54:27+00:00,2423,3390,Java,679,146,321,26,Apache-2.0,2017-11-05 11:08:45+00:00,38,217
orctom/was-maven-plugin,2014-03-04 04:44:30+00:00,296,36,Java,23,5,9,3,Apache-2.0,2017-10-26 14:37:24+00:00,6,216
luanne/flavorwocky,2012-02-02 15:58:48+00:00,790,33,Java,9,6,9,2,BSD-2-Clause,2018-01-19 11:16:55+00:00,2,216
jgperrin/net.jgp.labs.spark,2016-06-26 23:31:23+00:00,1402,14,Java,9,0,3,1,Apache-2.0,2016-06-26 23:31:28+00:00,10,215
bartoszm/yang2swagger,2017-11-13 12:43:57+00:00,480,11,Java,8,4,5,3,EPL-1.0,2018-01-23 02:51:35+00:00,12,207
vanderhallenf/eloyente,2012-12-11 10:22:35+00:00,30989,0,Java,5,1,1,3,Apache-2.0,2017-08-08 11:42:51+00:00,3,206
MichalDanielDobrzanski/WalkingSynth,2015-12-23 20:23:06+00:00,8344,27,Java,9,0,1,1,MIT,2017-11-24 20:03:23+00:00,3,201
GeneralElectric/snowizard,2013-06-25 12:03:47+00:00,1890,59,Java,7,0,11,4,BSD-3-Clause,2016-07-18 13:14:53+00:00,4,201
ssomai/ScalableLayout,2013-10-24 06:24:18+00:00,5313,235,Java,95,14,44,4,Apache-2.0,2018-01-19 08:00:13+00:00,7,198
AndroidGears/Plugin,2014-03-31 16:15:40+00:00,12744,53,Java,6,5,4,2,MIT,2017-11-24 19:02:22+00:00,3,197
